ticket_id,client_name,project_name,channel,text,ticket_type,churn_risk,project_age_days,open_incidents_30d,sentiment_label,is_phishing,has_pii
1,Client 1,Project 5,email,"Since the last deployment the invoicing module throws error 500 when generating invoices. They understand it may take some time, but want visibility on the roadmap. You can contact me at john.doe@example.com.",Correctivo,88,258,4,-0.048,0,1
2,Client 12,Project 7,email,Since the last deployment the invoicing module throws error 500 when generating invoices. The client would like this to be prioritized next sprint. You can reach me at 3209876543 during office hours.,Correctivo,67,489,8,0.319,0,1
3,Client 7,Project 2,portal,"Since the last deployment the invoicing module throws error 500 when generating invoices. They understand it may take some time, but want visibility on the roadmap. Please reply to maria.client@company.com with the solution.",Correctivo,100,382,8,-0.025,0,1
4,Client 12,Project 2,email,The report page crashes when we filter by date range. The client would like this to be prioritized next sprint.,Correctivo,82,707,7,0.42,0,0
5,Client 6,Project 6,email,Since the last deployment the invoicing module throws error 500 when generating invoices. The client would like this to be prioritized next sprint.,Correctivo,83,716,8,0.22,0,0
6,Client 11,Project 6,email,The report page crashes when we filter by date range. The client is very frustrated and angry about this issue.,Correctivo,77,264,1,-0.795,0,0
7,Client 11,Project 8,portal,"The user cannot log in to the platform, it says invalid credentials even after password reset. The client is very frustrated and angry about this issue.",Correctivo,100,688,14,-0.528,0,0
8,Client 6,Project 4,email,"We need a new dashboard to monitor monthly KPIs for our projects. The client would like this to be prioritized next sprint. My phone number is 3112345678, call me as soon as possible.",Evolutivo,69,551,15,0.417,0,1
9,Client 10,Project 8,whatsapp,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,26,287,0,0.431,0,0
10,Client 5,Project 7,email,The report page crashes when we filter by date range. The client would like this to be prioritized next sprint. Use this link to verify your account before it is deactivated.,Correctivo,92,494,0,0.205,1,0
11,Client 3,Project 6,email,The system is extremely slow when we try to approve purchase orders. The client is very frustrated and angry about this issue.,Correctivo,84,582,0,-0.844,0,0
12,Client 1,Project 4,whatsapp,"The integration with the banking service stopped working and payments are not being processed. They understand it may take some time, but want visibility on the roadmap. Use this link to verify your account before it is deactivated.",Correctivo,59,110,2,0.36,1,0
13,Client 9,Project 7,email,We would like to add a filter by project manager in the main view. They mentioned this is important but not blocking production.,Evolutivo,60,582,6,0.497,0,0
14,Client 2,Project 4,email,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap. My phone number is 3112345678, call me as soon as possible.",Evolutivo,44,95,10,0.232,0,1
15,Client 15,Project 1,portal,The report page crashes when we filter by date range. The client would like this to be prioritized next sprint.,Correctivo,90,102,7,0.224,0,0
16,Client 4,Project 8,portal,"We need a new dashboard to monitor monthly KPIs for our projects. They understand it may take some time, but want visibility on the roadmap.",Evolutivo,62,224,3,0.159,0,0
